,station_name,district_name,block_name,basin_name,sub_basin_name,basin_id,date_collection,PH.1,TEMPERATURE,TOTAL DISSOLVED SOLIDS(mg/L),TOTAL HARDNESS(mg/L),DISSOLVED OXYGEN(mg/L),BIOCHEMICAL OXYGEN DEMAND(mg/L)
5108,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1979 00:00,7.74,26.6,250.7884409,102.087,6.384455516,1.24075821
7370,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1979 00:00,8.31,25,439.5509671,217.15,6.72,1.26
8906,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1979 00:00,8.38,26,383.4141076,192.543,7.04,2.355771363
4950,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1980 00:00,7.4,24,116,119.167,7.422783401,1.4
6437,K.M. VADI,Mysore,HUNSUR,Cauvery Basin,Cauvery Upper,1,01-01-1980 00:00,8.22,22.84620951,248,181.283,7.235364727,2.702671995
6974,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1980 00:00,8.04,27.19170606,334,113.538,5.958198612,1.520426918
8186,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1980 00:00,7.7,26.60119615,337,129.52,5.852406609,1.799615447
8628,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1980 00:00,8.43,25.08657133,385.7310349,190.936,6.538536093,2.860167808
4913,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1981 00:00,7.3,31,338.545005,127.294,7.27,0.97
6201,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1981 00:00,7.04,27.5,125.6906195,28.175,6.224871788,-0.087905507
7430,T. NARASIPUR,Mysore,TIRUMAKUDAL-NARSIPUR,Cauvery Basin,Cauvery Middle,1,01-01-1981 00:00,8.67,24.5,504.0779525,279.943,7.14,3.810515747
7940,T.K.HALLI,Mandya,MALVALLI,Cauvery Basin,Cauvery Middle,1,01-01-1981 00:00,7.9,25.62945015,295,134.167,6.307421701,1.880264189
8879,KOLLEGAL,Chamarajanagar,KOLLEGAL,Cauvery Basin,Cauvery Middle,1,01-01-1981 00:00,8.17,24.71372567,402.5324306,229.912,7.12,2.893750287
5163,KUDIGE,Kodagu,SOMVARPET,Cauvery Basin,Cauvery Upper,1,01-01-1982 00:00,6.4,25.2064877,32,23.3333,6.176854633,-0.059057678
5804,M.H. HALLI,Hassan,HOLENARSIPUR,Cauvery Basin,Cauvery Upper,1,01-01-1982 00:00,7.84,27,-14.8779855,39.0438,9.27,-1.648392262
