block_name,basin_name,basin_id,date_collection,CALCIUM(mg/L),PH.1,TEMPERATURE,TOTAL DISSOLVED SOLIDS(mg/L),TOTAL HARDNESS(mg/L),DISSOLVED OXYGEN(mg/L),BIOCHEMICAL OXYGEN DEMAND(mg/L),MAGNESIUM(mg/L)
SOMVARPET,Cauvery Basin,1,01-01-1979 00:00,20,7.43,24.08903609,65,62.5,5.958294107,0.813123359,3
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1979 00:00,20,7.52,24.49536501,101,66.6667,6.207707022,0.840637381,4
KOLLEGAL,Cauvery Basin,1,01-01-1979 00:00,20,7.5,23.84127437,110,83.3333,5.877916315,1.003969656,8
SOMVARPET,Cauvery Basin,1,01-01-1980 00:00,12.2,7.48,24.10632693,48,51.3333,6.201377822,0.441946495,5
HUNSUR,Cauvery Basin,1,01-01-1980 00:00,27.09424551,8.35,25.79417335,374,139.8810218,7.193355895,1.833825367,16.7276947
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1980 00:00,22.4,8.29,22.66398371,194,138.5,5.675635989,1.605147814,19.8
MALVALLI,Cauvery Basin,1,01-01-1980 00:00,21.78490687,8.45,24.65281423,232,112.6477998,6.704327762,1.386283634,13.69276433
KOLLEGAL,Cauvery Basin,1,01-01-1980 00:00,20.4,8.09,23.23907518,129,102.667,5.897037167,1.203782052,12.4
SOMVARPET,Cauvery Basin,1,01-01-1981 00:00,9,8,24.12961857,68,55.8333,6.583658178,0.369993855,8
HOLENARSIPUR,Cauvery Basin,1,01-01-1981 00:00,7,7.6,25.04956213,64,34.1667,6.867055546,0.086358135,4
TIRUMAKUDAL-NARSIPUR,Cauvery Basin,1,01-01-1981 00:00,5,8.2,25.67318138,126,41.6667,7.556260986,0.068798567,7
MALVALLI,Cauvery Basin,1,01-01-1981 00:00,31,8.3,23.15746725,236,148.333,5.694635092,1.98036851,17
KOLLEGAL,Cauvery Basin,1,01-01-1981 00:00,19,8,23.5648494,136,97.5,6.044539074,1.101492647,12
